session,trial_index,outcome,setup_duration,search_duration,outbound,poke_latency
FloorRotation (scramble),8,success,7.791008000000147,13.548991999999998,21.340000000000146,2.523008000000118
FloorRotation (scramble),9,success,10.262016000000585,13.04399999999805,23.306015999998635,2.8335040000019944
FloorRotation (scramble),10,miss,11.620992000000115,5.801024000000325,17.42201600000044,5.002496000000974
FloorRotation (scramble),11,success,6.842975999999908,14.25801599999977,21.10099199999968,4.719008000000031
FloorRotation (scramble),12,success,9.866911999997683,0.050016000001051,9.916927999998734,4.901984000000084
FloorRotation (scramble),13,success,4.4424959999996645,0.04998399999749381,4.492479999997158,2.089504000003217
FloorRotation (scramble),14,success,8.868991999999707,0.4039999999986321,9.27299199999834,2.2169920000014827
FloorRotation (scramble),15,success,8.305984000002354,3.863999999997759,12.169984000000113,1.9420160000008764
FloorRotation (scramble),16,fail,7.221023999998579,8.988000000001193,16.209023999999772,2.5319999999992433
FloorRotation (scramble),17,miss,5.772992000001977,0.004991999998310348,5.777984000000288,5.022496000001411
FloorRotation (scramble),18,miss,7.024992000002385,7.559008000000176,14.584000000002561,5.016992000000755
FloorRotation (scramble),19,success,7.968991999998252,2.979008000002068,10.94800000000032,2.150015999999596
FloorRotation (scramble),20,fail,7.291008000000147,0.05200000000331784,7.343008000003465,4.8775040000000445
FloorRotation (scramble),21,miss,8.692511999997805,13.436000000001513,22.12851199999932,5.004000000000815
FloorRotation (scramble),22,success,4.211007999998401,0.02601600000343751,4.237024000001838,2.256991999998718
FloorRotation (scramble),23,success,5.884991999999329,2.0560000000004948,7.940991999999824,4.020000000000437
FloorRotation (scramble),24,success,8.00150399999984,12.158015999997588,20.15951999999743,3.397983999999269
FloorRotation (scramble),25,success,4.868992000003345,13.850015999996685,18.71900800000003,2.822496000000683
FloorRotation (scramble),26,success,9.028480000000854,3.6980159999984608,12.726495999999315,2.8320000000021537
FloorRotation (scramble),27,miss,7.730687999999645,4.684992000002239,12.415680000001885,5.008991999999125
FloorRotation (scramble),28,miss,6.630496000001585,7.388992000000144,14.01948800000173,5.021504000000277
FloorRotation (scramble),29,miss,7.744991999999911,3.397023999998055,11.142015999997966,5.014976000002207
FloorRotation (scramble),30,success,8.832000000002154,1.165023999998084,9.997024000000238,2.989504000001034
FloorRotation (scramble),31,success,5.978495999999723,2.6019840000008116,8.580480000000534,2.644000000000233
FloorRotation (scramble),32,success,10.056992000001628,7.354016000001138,17.411008000002766,2.9550079999971786
FloorRotation (scramble),33,miss,8.247488000000885,5.57299200000125,13.820480000002135,5.011999999998807
FloorRotation (scramble),34,success,6.372512000001734,4.834975999998278,11.207488000000012,4.161024000000907
