trial_index,start_time,end_time,TTP,ChosenPort,CorrectPort,outcome,LED,angle_offset,target_zone_size,mouseID,training/testing,day,session,dataset,session_dict,filter_profile
98,27239.18,27255.401984,2.6430079999990994,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
32,18874.861984,18888.744512,4.844511999999668,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
33,18889.744512,18901.612992,5.011999999998807,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
34,18902.612992,18941.276992,5.028991999999562,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
35,18942.276992,18955.604992,1.9049919999997655,12,2,Failure,OFF,-160.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
36,18956.604992,18970.199712,3.9507200000007288,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
37,18971.199712,18982.248,3.047999999998865,3,2,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
38,18983.248,18998.406976,5.008991999999125,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
39,18999.406976,19012.184,1.4360000000015134,3,2,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
40,19013.184,19028.176992,3.0780159999994794,7,2,Failure,OFF,100.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
41,19029.176992,19059.008992,2.211007999998401,6,2,Failure,OFF,80.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
42,19060.008992,19070.658848,4.9608640000005835,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
43,19071.658848,19080.480992,1.5830080000014277,3,2,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
44,19081.480992,19144.712,5.014016000000993,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
45,19145.712,19217.314688,4.215711999997438,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
46,19218.314688,19238.179232,4.781247999999323,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
47,19239.179232,19251.076,2.3780160000023898,3,2,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
48,19252.076,19268.660992,5.01299199999994,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
49,19269.660992,19279.917088,1.9680959999968763,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
50,19280.917088,19297.764352,3.6663679999983287,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
51,19298.764352,19312.356992,5.008991999999125,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
52,19313.356992,19321.855296,2.8072960000026796,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
53,19322.855296,19334.50416,2.504160000000411,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
54,19335.50416,19344.98,2.279999999998836,4,2,Failure,OFF,40.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
55,19345.98,19357.172736,2.8747519999997166,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
56,19358.172736,19384.787776,2.188799999999901,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
57,19385.787776,19412.876224,3.876223999999638,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
58,19413.876224,19427.071328,2.523328000002948,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
59,19428.071328,19440.39552,4.345535999997082,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
60,19441.39552,19454.506976,3.506976000000577,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
61,19455.506976,19468.34944,2.0014400000000023,1,2,Failure,OFF,-20.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
62,19469.34944,19491.1144,3.6674239999993006,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
63,19492.1144,19514.278432,2.2304320000002917,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
64,19515.278432,19544.80528,3.85628799999904,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
65,19545.80528,19556.66,5.011008000001311,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
66,19557.66,19573.22048,5.020479999999225,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
67,19574.22048,19606.174912,4.2759359999981825,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
68,19607.174912,19675.206976,5.008992000002763,-1,2,Miss,OFF,,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
69,19676.206976,19708.154752,1.9057599999978265,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
70,19709.154752,19723.1672,3.518208000001323,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
71,19724.1672,19740.482912,3.034911999999167,2,2,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_3,2026-04-25T182521Z,training,training_sessions,last_40
55,28044.447904,28054.84,1.9930239999994228,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
56,28055.84,28067.865504,4.520512000002782,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
57,28068.865504,28077.980096,2.0351039999986824,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
58,28078.980096,28090.905984,3.5600000000013097,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
59,28091.905984,28111.228,3.483007999999245,17,16,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
60,28112.228,28126.160992,3.8649920000025304,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
61,28127.160992,28139.786976,2.489983999999822,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
62,28140.786976,28159.851488,5.004511999999522,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
63,28160.851488,28174.732,2.8359999999993306,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
64,28175.732,28185.076992,1.9300159999984317,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
65,28186.076992,28202.682976,3.587999999999738,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
66,28203.682976,28220.005984,4.711007999998401,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
67,28221.005984,28232.113504,3.41852800000197,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
68,28233.113504,28246.02848,3.682496000001265,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
69,28247.02848,28256.812,2.067008000001806,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
70,28257.812,28273.034496,2.9885119999999006,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
71,28274.034496,28311.673504,3.4275199999974575,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
72,28312.673504,28326.432992,4.287007999999332,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
73,28327.432992,28340.388992,2.391007999998692,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
74,28341.388992,28352.600992,1.255008000000089,17,16,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
75,28353.600992,28367.247488,2.801503999999113,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
76,28368.247488,28378.912992,1.6660160000028554,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
77,28379.912992,28399.913984,3.4670079999996233,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
78,28400.913984,28411.013984,2.519007999999303,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
79,28412.013984,28425.368992,4.423007999997935,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
80,28426.368992,28440.366976,3.420991999999387,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
81,28441.366976,28458.666976,4.320992000000842,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
82,28459.666976,28469.266976,1.8209919999972044,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
83,28470.266976,28482.490496,2.1435199999978067,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
84,28483.490496,28493.866496,2.5695039999991423,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
85,28494.866496,28504.745984,2.900000000001455,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
86,28505.745984,28518.437984,2.443007999998372,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
87,28519.437984,28550.97648,1.778496000002633,17,16,Failure,OFF,20.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
88,28551.97648,28564.053984,4.207999999998719,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
89,28565.053984,28574.545984,2.3480000000017753,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
90,28575.545984,28583.77248,2.32649599999786,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
91,28584.77248,28597.196992,3.102016000000731,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
92,28598.196992,28609.097984,2.6510080000007292,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
93,28610.097984,28618.344992,1.6980159999984608,16,16,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_4,2026-04-28T165257Z,training,training_sessions,last_40
